SampleID;Tissue;Factor;Condition;Treatment;Replicate;bamReads;Peaks;PeakCaller;PeakFormat
A2H_ATAC_PFC_A1;;ATAC;A;A;1;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A1_S6_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A1_S6_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A10;;ATAC;A;A;10;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A10_S15_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A10_S15_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A11;;ATAC;A;A;11;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A11_S16_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A11_S16_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A12;;ATAC;A;A;12;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A12_S17_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A12_S17_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A2;;ATAC;A;A;2;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A2_S7_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A2_S7_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A3;;ATAC;A;A;3;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A3_S8_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A3_S8_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A4;;ATAC;A;A;4;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A4_S9_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A4_S9_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A5;;ATAC;A;A;5;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A5_S10_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A5_S10_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A6;;ATAC;A;A;6;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A6_S11_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A6_S11_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A7;;ATAC;A;A;7;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A7_S12_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A7_S12_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A8;;ATAC;A;A;8;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A8_S13_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A8_S13_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_A9;;ATAC;A;A;9;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-A9_S14_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-A9_S14_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_C1;;ATAC;C;C;1;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-C1_S1_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-C1_S1_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_C10;;ATAC;C;C;10;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-C10_S21_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-C10_S21_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_C2;;ATAC;C;C;2;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-C2_S2_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-C2_S2_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_C3;;ATAC;C;C;3;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-C3_S3_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-C3_S3_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_C4;;ATAC;C;C;4;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-C4_S4_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-C4_S4_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_C5;;ATAC;C;C;5;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-C5_S5_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-C5_S5_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_C7;;ATAC;C;C;7;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-C7_S18_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-C7_S18_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_C8;;ATAC;C;C;8;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-C8_S19_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-C8_S19_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow
A2H_ATAC_PFC_C9;;ATAC;C;C;9;03_bowtie2/mpg_L16870_A2H-ATAC-PFC-C9_S20_R1.cutadapt.sorted.rmDups.bam;06_macs2_bam/mpg_L16870_A2H-ATAC-PFC-C9_S20_R1.cutadapt.sorted.rmDups_peaks.narrowPeak.filt.gz;macs;narrow